name,Nombre_liga,Equipo,Pais,Edad,Posicion,Altura,Peso,Partidos_completos,Medio_tiempo,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,rating,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,shotsPerGame_y,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,passSuccess_y,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad
Munir El Haddadi,LaLiga,Sevilla,es,24,Attacker,175,69,3,3,316,1,0,1,0,1.8,77.8,0,0.8,6.54,0.5,0.3,0.8,0.0,0.3,0.5,0.0,0,1.8,0.3,0.3,1.3,0.7,0.7,1.8,16.5,77.8,0.2,0.0,0.0
Munas Dabbur,LaLiga,Sevilla,il,27,Forward,182,76,0,1,12,0,0,0,0,1.0,66.7,0,0.0,6.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,66.7,0.0,0.0,1.0
Daniel Carriço,LaLiga,Sevilla,pt,31,Defender,180,79,7,1,623,0,0,2,0,0.8,91.1,0,1.1,6.47,0.8,0.9,0.6,0.3,1.9,0.4,0.3,0,0.8,0.1,0.4,0.1,0.0,0.1,0.4,48.0,91.1,0.0,3.4,0.0
Chicharito,LaLiga,Sevilla,mx,31,Forward,175,73,4,4,415,1,0,0,0,1.5,70.8,1,1.4,6.4,0.8,0.6,0.8,0.0,0.1,0.5,0.0,0,1.5,0.4,0.0,1.5,1.3,0.3,1.8,9.0,70.8,0.0,0.1,0.1
Sergi Gómez,LaLiga,Sevilla,es,27,Defender,185,80,0,1,7,0,0,0,0,0.0,66.7,0,1.0,6.38,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.7,0.0,0.0,0.0
Bryan Gil,LaLiga,Sevilla,es,18,Forward,175,60,0,2,63,0,0,2,0,0.0,91.7,0,0.0,6.29,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,12.0,91.7,0.0,0.0,0.0
Nemanja Gudelj,LaLiga,Sevilla,rs,28,Midfielder,187,81,1,8,290,0,0,3,0,0.1,87.9,0,0.8,6.25,0.4,0.4,0.9,0.2,1.7,0.2,0.3,0,0.1,0.0,0.2,0.2,0.0,0.2,0.2,15.7,87.9,0.0,0.8,0.0
Rony Lopes,LaLiga,Sevilla,pt,23,Attacker,174,68,0,1,11,0,0,0,0,1.0,100.0,0,0.0,6.11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,0.0
Alejandro Pozo,LaLiga,Sevilla,es,20,Defender,174,70,0,3,34,0,0,0,0,0.0,76.9,0,0.0,5.95,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,4.3,76.9,0.0,0.0,0.0
Jason,LaLiga,Getafe,es,25,Midfielder,178,65,11,0,877,1,4,5,0,1.5,61.3,1,1.3,7.12,1.6,1.3,1.5,0.0,0.5,1.2,0.3,0,1.5,1.6,1.5,1.8,0.1,1.3,2.8,20.9,61.3,1.3,0.5,0.0
Mathías Olivera,LaLiga,Getafe,uy,22,Defender,184,78,3,2,328,0,1,1,0,0.2,54.5,2,2.4,7.04,2.6,1.0,1.0,0.0,2.4,0.8,0.0,0,0.2,0.2,1.2,0.4,0.2,0.6,1.2,17.6,54.5,0.4,0.8,0.0
Marc Cucurella,LaLiga,Getafe,es,21,Defender,172,66,17,0,1512,1,3,4,0,0.8,66.4,1,1.5,6.95,2.4,0.6,2.2,0.1,0.7,1.1,0.3,0,0.8,1.1,0.8,1.5,0.1,0.7,1.8,30.8,66.4,0.4,1.4,0.0
Damián Suárez,LaLiga,Getafe,uy,31,Defender,172,61,13,0,1122,0,3,6,0,0.5,66.7,0,1.5,6.84,2.0,0.8,1.7,0.5,1.4,0.8,0.2,0,0.5,1.2,0.7,2.2,0.0,0.2,1.2,32.8,66.7,0.9,2.3,0.1
Mauro Arambarri,LaLiga,Getafe,uy,24,Defender,175,74,15,0,1350,1,1,5,0,1.2,70.4,0,2.2,6.84,2.0,1.3,2.1,0.1,1.0,1.0,0.2,0,1.2,0.1,1.1,2.0,0.0,0.9,1.3,26.3,70.4,0.1,2.9,0.0
Jaime Mata,LaLiga,Getafe,es,31,Forward,185,79,14,1,1173,5,2,5,0,1.2,64.0,1,3.2,6.84,0.7,0.1,3.1,0.0,0.3,0.3,0.0,0,1.2,1.0,0.1,1.7,0.9,1.1,3.3,18.9,64.0,0.3,0.3,0.0
