name,Edad,Posicion,Altura,Peso,Minutos,T_Goles,T_Asistencias,T_Amarillas,T_Rojas,PP_Tiros,%_PasesBuenos,JdP,PP_Aire,PP_Entradas,PP_Intercepciones,PP_Faltas,PP_FueraJuegoGanados,PP_Despejes,PP_Regateado,outfielderBlockPerGame,T_GolesPropia,PP_PasesClave,PP_Regateo,PP_FaltaRecibida,PP_FueraJuegoPerdido,PP_BalonPerdido,PP_MalControl,PP_Pases,PP_PaseCentro,PP_PaseLargo,PP_PaseProfundidad,Kmeans_Clusters
Rui Silva,25,GoalKeeper,191,91,1530,0,0,1,0,0.0,52.7,0,0.1,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,32.5,0.0,8.2,0.0,2
Domingos Duarte,24,Defender,192,80,1486,2,0,3,0,0.4,82.3,1,1.5,0.5,0.9,0.9,0.5,3.9,0.1,0.8,0,0.0,0.1,0.4,0.1,0.0,0.2,34.8,0.0,2.2,0.0,4
Chimy Avila,25,Attacker,172,81,1265,6,2,6,0,3.1,56.9,4,3.3,1.0,0.2,2.3,0.0,0.1,0.7,0.0,0,1.2,0.8,2.1,1.2,1.5,2.3,15.4,0.3,0.8,0.0,1
Pervis Estupiñán,21,Defender,175,73,1530,1,2,3,0,0.5,76.6,3,1.4,2.4,1.9,1.0,0.2,1.7,1.1,0.1,0,1.2,1.9,0.9,0.1,0.8,1.9,38.9,1.2,1.4,0.0,0
Roberto Torres,30,Attacker,178,72,1402,4,3,1,0,2.8,72.5,2,0.8,0.9,0.8,0.5,0.1,1.3,0.9,0.1,0,1.4,0.6,1.2,0.0,0.8,1.3,29.1,1.2,1.9,0.0,3
José Campaña,26,Midfielder,179,70,1407,2,4,0,1,1.4,81.4,1,1.1,1.1,1.1,1.0,0.0,1.1,0.9,0.1,0,2.8,1.5,1.3,0.1,0.9,1.9,51.7,1.3,2.6,0.1,3
Aitor Fernández,28,GoalKeeper,182,78,1530,0,0,2,0,0.0,59.9,0,0.4,0.1,0.1,0.0,0.0,1.1,0.0,0.0,0,0.1,0.0,0.1,0.0,0.0,0.0,25.6,0.0,6.4,0.0,2
Rúben Vezo,25,Defender,182,80,1260,0,0,4,0,0.5,80.8,0,3.2,1.3,1.6,1.1,1.1,5.7,0.6,0.9,0,0.1,0.1,1.1,0.0,0.1,0.2,41.3,0.0,3.7,0.0,4
Jorge Miramón,30,Defender,175,74,1255,0,3,2,0,0.4,75.8,0,0.8,1.6,1.0,0.4,0.1,1.6,0.4,0.3,0,0.8,0.4,0.9,0.0,0.4,0.8,30.0,0.6,1.6,0.0,0
José Luis Morales,32,Defender,180,70,1395,1,1,1,0,1.4,70.1,1,0.1,0.7,0.2,0.5,0.0,0.1,0.7,0.0,0,1.1,1.4,0.4,0.5,1.5,2.3,18.7,0.5,0.5,0.1,3
Joel Robles,29,GoalKeeper,195,78,1268,0,0,2,1,0.0,68.2,2,0.3,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,0.1,29.1,0.0,5.5,0.0,2
Sergio Canales,28,Attacker,176,65,1304,1,1,2,0,1.3,87.6,0,0.1,0.8,0.4,0.8,0.1,0.5,0.5,0.1,0,1.7,1.1,0.9,0.0,1.2,1.2,54.7,1.1,3.5,0.1,3
Gerard Moreno,27,Attacker,180,77,1330,8,2,1,0,3.1,75.3,3,1.6,0.7,0.4,1.3,0.1,1.7,1.2,0.1,0,1.9,1.8,1.4,0.4,1.5,2.4,29.8,0.3,2.3,0.3,1
André-Frank Zambo Anguissa,24,Defender,184,78,1224,1,0,4,0,1.0,86.1,3,2.8,2.7,1.5,1.3,0.0,1.1,1.3,0.2,0,0.6,2.8,1.1,0.0,1.5,2.5,46.9,0.0,2.4,0.0,0
Vicente Iborra,31,Midfielder,190,80,1229,0,1,5,0,0.8,86.0,0,2.8,2.3,1.3,1.5,0.1,2.0,1.3,0.7,0,0.4,0.5,1.4,0.0,0.2,0.7,43.8,0.0,4.3,0.1,0
Raúl Albiol,34,Defender,187,74,1348,0,0,6,0,0.6,84.7,0,1.9,1.2,1.1,1.0,0.9,5.3,0.3,0.8,0,0.2,0.1,0.5,0.1,0.0,0.3,54.5,0.1,6.2,0.1,4
